x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,color1,color2,color3,color4,color5,color6,condition_label,answer
-0.212132034,-0.212132034,0.3,0,-0.212132034,0.212132034,-5.51E-17,-0.3,0.212132034,-0.212132034,-0.3,3.67E-17,yellow,green,orange,blue,red,magenta,same,y
0.212132034,-0.212132034,0.3,0,-0.212132034,0.212132034,-0.212132034,-0.212132034,-5.51E-17,-0.3,1.84E-17,0.3,magenta,orange,pink,blue,green,red,same,y
1.84E-17,0.3,0.3,0,-0.212132034,-0.212132034,-5.51E-17,-0.3,-0.3,3.67E-17,-0.212132034,0.212132034,brown,red,magenta,green,orange,purple,same,y
-0.3,3.67E-17,-0.212132034,-0.212132034,-0.212132034,0.212132034,0.212132034,-0.212132034,1.84E-17,0.3,0.212132034,0.212132034,yellow,cyan,pink,purple,magenta,red,same,y
1.84E-17,0.3,-0.212132034,0.212132034,0.212132034,-0.212132034,-5.51E-17,-0.3,-0.212132034,-0.212132034,-0.3,3.67E-17,orange,cyan,purple,blue,red,yellow,same,y
1.84E-17,0.3,-0.212132034,-0.212132034,0.212132034,-0.212132034,-5.51E-17,-0.3,-0.212132034,0.212132034,0.212132034,0.212132034,blue,green,brown,cyan,yellow,orange,same,y
0.212132034,-0.212132034,-0.3,3.67E-17,-5.51E-17,-0.3,-0.212132034,0.212132034,0.212132034,0.212132034,-0.212132034,-0.212132034,blue,orange,cyan,brown,pink,red,same,y
0.3,0,1.84E-17,0.3,0.212132034,0.212132034,-0.212132034,-0.212132034,-5.51E-17,-0.3,-0.3,3.67E-17,brown,green,magenta,purple,orange,blue,same,y
-5.51E-17,-0.3,-0.3,3.67E-17,-0.212132034,0.212132034,-0.212132034,-0.212132034,0.212132034,0.212132034,0.212132034,-0.212132034,brown,pink,yellow,cyan,red,blue,same,y
-0.212132034,-0.212132034,0.212132034,-0.212132034,0.212132034,0.212132034,0.3,0,-0.212132034,0.212132034,-5.51E-17,-0.3,pink,magenta,blue,brown,green,purple,same,y
-0.212132034,-0.212132034,0.3,0,-0.212132034,0.212132034,-5.51E-17,-0.3,0.212132034,-0.212132034,-0.3,3.67E-17,yellow,green,orange,blue,red,magenta,change,n
0.212132034,-0.212132034,0.3,0,-0.212132034,0.212132034,-0.212132034,-0.212132034,-5.51E-17,-0.3,1.84E-17,0.3,magenta,orange,pink,blue,green,red,change,n
1.84E-17,0.3,0.3,0,-0.212132034,-0.212132034,-5.51E-17,-0.3,-0.3,3.67E-17,-0.212132034,0.212132034,brown,red,magenta,green,orange,purple,change,n
-0.3,3.67E-17,-0.212132034,-0.212132034,-0.212132034,0.212132034,0.212132034,-0.212132034,1.84E-17,0.3,0.212132034,0.212132034,yellow,cyan,pink,purple,magenta,red,change,n
1.84E-17,0.3,-0.212132034,0.212132034,0.212132034,-0.212132034,-5.51E-17,-0.3,-0.212132034,-0.212132034,-0.3,3.67E-17,orange,cyan,purple,blue,red,yellow,change,n
1.84E-17,0.3,-0.212132034,-0.212132034,0.212132034,-0.212132034,-5.51E-17,-0.3,-0.212132034,0.212132034,0.212132034,0.212132034,blue,green,brown,cyan,yellow,orange,change,n
0.212132034,-0.212132034,-0.3,3.67E-17,-5.51E-17,-0.3,-0.212132034,0.212132034,0.212132034,0.212132034,-0.212132034,-0.212132034,blue,orange,cyan,brown,pink,red,change,n
0.3,0,1.84E-17,0.3,0.212132034,0.212132034,-0.212132034,-0.212132034,-5.51E-17,-0.3,-0.3,3.67E-17,brown,green,magenta,purple,orange,blue,change,n
-5.51E-17,-0.3,-0.3,3.67E-17,-0.212132034,0.212132034,-0.212132034,-0.212132034,0.212132034,0.212132034,0.212132034,-0.212132034,brown,pink,yellow,cyan,red,blue,change,n
-0.212132034,-0.212132034,0.212132034,-0.212132034,0.212132034,0.212132034,0.3,0,-0.212132034,0.212132034,-5.51E-17,-0.3,pink,magenta,blue,brown,green,purple,change,n
